"name","party","constituency","valid_votes","majority_votes","majority_pct","ge19_pre_1m","ge19_post_1m","ge19_post_1y","jan_20","feb_20"
"Peter_Dowd","Labour Party","bootle",49174,34556,70.27,91,10,15,19,11
"Shabana_Mahmood","Labour Party","birmingham ladywood",42118,28582,67.86,22,6,23,23,26
"David_Lammy","Labour Party","tottenham",46856,30175,64.4,130,44,122,87,75
"Stella_Creasy","Labour and Co-operative","walthamstow",48335,30862,63.85,95,70,83,51,56
"Liam_Byrne","Labour Party","birmingham hodge hill",45003,28655,63.67,175,71,54,219,91
"Meg_Hillier","Labour and Co-operative","hackney south and shoreditch",54439,33985,62.43,21,10,12,8,19
"Rushanara_Ali","Labour Party","bethnal green and bow",60562,37524,61.96,45,11,40,15,20
"Matt_Warman","Conservative Party","boston and skegness",41696,25621,61.45,232,61,100,91,40
"Naseem_Shah","Labour Party","bradford west",44261,27019,61.04,34,3,30,8,3
"Stephen_Timms","Labour Party","east ham",54628,33176,60.73,37,14,33,17,27
"Rebecca_Harris","Conservative Party","castle point",44277,26634,60.15,17,2,3,1,NA
"Harriet_Harman","Labour Party","camberwell and peckham",56492,33780,59.8,60,12,23,13,9
"Vicky_Foxcroft","Labour Party","lewisham deptford",55368,32913,59.44,52,13,42,23,22
"Maria_Eagle","Labour Party","garston and halewood",53326,31624,59.3,22,11,26,13,7
"Diane_Abbott","Labour Party","hackney north and stoke newington",56864,33188,58.36,177,39,41,112,47
"Lucy_Powell","Labour and Co-operative","manchester central",52289,29089,55.63,116,114,111,86,75
"Lyn_Brown","Labour Party","west ham",60200,32388,53.8,40,53,112,48,79
"Paul_Blomfield","Labour Party","sheffield central",50913,27273,53.57,25,4,22,19,30
"Jeff_Smith","Labour Party","manchester withington",52995,27905,52.66,14,11,24,13,11
"Elizabeth_Truss","Conservative Party","south west norfolk",51466,26195,50.9,93,23,35,37,30
"Wendy_Morton","Conservative Party","aldridgebrownhills",39342,19836,50.42,45,16,63,16,17
"Nigel_Huddleston","Conservative Party","mid worcestershire",56123,28018,49.92,61,22,35,30,32
"Helen_Hayes","Labour Party","dulwich and west norwood",55778,27310,48.96,143,41,51,39,44
"Caroline_Johnson","Conservative Party","sleaford and north hykeham",66554,32565,48.93,28,4,10,2,2
"Keir_Starmer","Labour Party","holborn and st pancras",56786,27763,48.89,34,62,82,118,142
"James_Cleverly","Conservative Party","braintree",50499,24673,48.86,164,71,98,31,49
"Jeremy_Corbyn","Labour Party","islington north",53805,26188,48.67,430,33,52,21,29
"Desmond_Swayne","Conservative Party","new forest west",50306,24403,48.51,28,NA,5,9,3
"Caroline_Dinenage","Conservative Party","gosport",48453,23278,48.04,30,19,88,34,53
"Thomas_Tugendhat","Conservative Party","tonbridge and malling",57003,26941,47.26,183,193,158,148,88
"Philip_Dunne","Conservative Party","ludlow",50225,23648,47.08,33,8,24,17,19
"John_Cryer","Labour Party","leyton and wanstead",44547,20808,46.71,36,20,19,10,5
"Suella_Fernandes","Conservative Party","fareham",57250,26086,45.57,29,4,2,3,7
"Chris_Heaton-Harris","Conservative Party","daventry",57403,26080,45.43,22,20,35,11,8
"Jon_Ashworth","Labour and Co-operative","leicester south",50147,22675,45.22,154,60,56,69,63
"Matthew_Hancock","Conservative Party","west suffolk",51437,23194,45.09,247,53,113,62,55
"Edward_Leigh","Conservative Party","gainsborough",51046,22967,44.99,47,15,34,20,27
"Kit_Malthouse","Conservative Party","north west hampshire",58918,26308,44.65,10,8,19,7,11
"Kevin_Hollinrake","Conservative Party","thirsk and malton",56588,25154,44.45,166,71,57,69,44
"Steve_Reed","Labour and Co-operative","croydon north",55609,24673,44.37,114,88,29,47,47
"Eleanor_Laing","Conservative Party","epping forest",50268,22173,44.11,22,18,13,14,2
"Huw_Merriman","Conservative Party","bexhill and battle",59093,26059,44.1,11,6,20,10,11
"Stephen_Metcalfe","Conservative Party","south basildon and east thurrock",45297,19922,43.98,11,18,6,16,4
"Nick_Gibb","Conservative Party","bognor regis and littlehampton",51223,22503,43.93,2,3,76,2,2
"Michael_Fabricant","Conservative Party","lichfield",53993,23638,43.78,183,134,219,195,95
"Lindsay_Hoyle","Independent","chorley",39870,17392,43.62,7,4,8,3,4
